               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11931,             0.02843,                   0,            0.001087,             0.53571,           0.0012035,          0.00020902,            0.099328,            0.020344,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11323,            0.024508,                   0,           0.0014856,             0.17857,           0.0044292,           0.0015855,            0.089722,            0.014758,                   0,            0.082887,           0.0018875,           0.0018875
                   2,             0.09493,            0.023299,                   0,           0.0048144,             0.46429,            0.010863,           0.0024936,            0.069054,             0.01281,                   0,            0.073862,           0.0028617,           0.0028617
                   3,            0.084729,            0.020316,                   0,           0.0015942,             0.78571,             0.01252,           0.0032324,            0.063988,            0.011316,                   0,            0.064823,           0.0038228,           0.0038228
                   4,            0.075793,            0.019318,                   0,           0.0030797,                0.75,            0.013413,           0.0032416,            0.058594,            0.010416,                   0,            0.055771,           0.0047706,           0.0047706
                   5,            0.068189,            0.016197,                   0,           0.0052722,                0.75,            0.035054,           0.0083587,            0.055555,           0.0098057,                   0,            0.046705,           0.0057053,           0.0057053
                   6,            0.063755,            0.018853,                   0,            0.043397,             0.32143,            0.078635,            0.018627,             0.05699,           0.0083916,                   0,            0.037627,           0.0066268,           0.0066268
                   7,            0.061172,            0.016598,                   0,             0.17772,            0.085538,             0.12391,            0.036903,            0.052241,            0.007359,                   0,            0.028535,            0.007535,            0.007535
                   8,            0.063476,            0.017827,                   0,             0.15374,             0.21429,             0.13177,            0.036093,            0.056819,           0.0072399,                   0,             0.01943,           0.0084301,           0.0084301
                   9,            0.057687,            0.016549,                   0,             0.26986,             0.46429,             0.18925,            0.052485,            0.053299,           0.0074811,                   0,            0.010312,           0.0093119,           0.0093119
                  10,            0.061122,            0.013249,                   0,              0.1679,             0.39286,             0.17668,            0.039743,            0.059334,           0.0065525,                   0,             0.00934,             0.00934,             0.00934
                  11,            0.061357,            0.016712,                   0,             0.35027,             0.32143,             0.30991,            0.076978,            0.047776,           0.0069935,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.059636,            0.015882,                   0,             0.52587,             0.39286,             0.41528,             0.16993,            0.042631,           0.0072445,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.052802,            0.012956,                   0,             0.42111,             0.46429,             0.34812,            0.076796,            0.051235,            0.005963,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.053796,             0.01317,                   0,             0.48978,             0.46429,             0.44292,             0.11994,             0.04669,           0.0060108,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.054381,              0.0143,                   0,             0.37657,             0.46429,             0.42719,             0.12674,            0.043643,           0.0060204,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.050413,            0.012568,                   0,             0.53452,             0.53323,             0.46117,              0.1484,             0.04298,           0.0057923,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.048521,            0.014031,                   0,             0.53397,             0.57293,             0.55045,             0.24073,             0.03889,           0.0056732,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.047721,            0.013126,                   0,             0.65443,                 0.5,             0.64023,              0.3519,            0.035744,           0.0058671,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.045365,            0.011345,                   0,             0.34755,             0.46429,             0.33409,             0.10937,            0.047254,           0.0064268,                   0,            0.008812,            0.008812,            0.008812
                  20,              0.0475,            0.011303,                   0,             0.38094,             0.60714,             0.41277,             0.11461,            0.047216,            0.006068,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.046533,            0.012764,                   0,             0.48088,             0.57143,             0.47311,             0.15778,            0.044295,           0.0059668,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.046297,            0.013486,                   0,              0.6783,             0.60259,             0.52654,             0.16549,            0.044221,           0.0057185,                   0,            0.008614,            0.008614,            0.008614
                  23,             0.04157,            0.012411,                   0,             0.41903,             0.57143,             0.44926,             0.21112,            0.043285,           0.0064436,                   0,            0.008548,            0.008548,            0.008548
